eia_plant_id,eia_plant_name,resource_names,locked
64347,Mockingbird Solar Center,BAKE_SLR_UNIT1;BAKE_SLR_UNIT2,1
61032,Heart of Texas Wind Project,VENADO_UNIT1;VENADO_UNIT2,1
62483,Taygete Energy Project LLC,TAYGETE2_UNIT1;TAYGETE2_UNIT2;TAYGETE_UNIT1;TAYGETE_UNIT2,1
55968,Trent Wind Farm,TRENT_TRENT;TRENT_UNIT_1B;TRENT_UNIT_2;TRENT_UNIT_3A;TRENT_UNIT_3B,1
62783,Blackjack Creek Wind Farm,BLACKJAK_UNIT1;BLACKJAK_UNIT2,1
65631,"Pisgah Ridge Solar, LLC",PISGAH_SOLAR1;PISGAH_SOLAR2,1
62249,Misae Solar,MISAE_UNIT1;MISAE_UNIT2,1
62258,Mesteno,MESTENO_UNIT_1,1
57974,Bobcat Bluff Wind Project LLC,BCATWIND_WIND_1,1
62141,Rambler,RAMBLER_UNIT1,1
63624,"La Chalupa, LLC",CHALUPA_UNIT1;CHALUPA_UNIT2,1
65308,Horizon Solar,HRZN_SLR_UNIT1,1
10790,Victoria Texas Plant,SJS_SJS_G1,1
63519,Crane Solar Project,FWLR_SLR_UNIT1,1
61865,"Rio Bravo Windpower, LLC",CABEZON_WIND1;CABEZON_WIND2,1
58838,Keechi Wind,KEECHI_U1,1
61962,Holstein 1 Solar Farm,HOLSTEIN_SOLAR1;HOLSTEIN_SOLAR2,1
61776,"Midway Wind, LLC",MIDWIND_UNIT1,1
60502,"Tyler Bluff Wind Project, LLC",TYLRWIND_UNIT1,1
56593,Roscoe Wind Farm LLC,TKWSW1_ROSCOE;TKWSW1_ROSCOE2A,1
63329,Aragorn Solar Project,ARAGORN_UNIT1,1
63222,Impact Solar 1,IMPACT_UNIT1,1
67424,Hopkins Energy LLC,CTW_ESR1;CTW_SOLAR1;CTW_SOLAR2,1
59118,Cameron Wind 1 LLC,CAMWIND_ESR1;CAMWIND_UNIT1,1
60581,Upton County Solar,LMESASLR_IVORY;LMESASLR_UNIT1,1
60044,Buckthorn Westex,WAYMARK_UNIT1,1
65372,Mark One Power Station,MCSES_UNIT8;MIL_MILLERG3;MIL_MILLERG4;MIL_MILLERG5,1
58000,"Anacacho Wind Farm, LLC",ANACACHO_ANA,1
61773,"Palmas Wind, LLC",PALMWIND_UNIT1,1
62207,Reloj del Sol Wind Farm,RELOJ_UNIT1;RELOJ_UNIT2;RELOJ_UNIT3;RELOJ_UNIT4,1
65793,"Concho Valley Solar, LLC",RATLIFF_SOLAR1,1
66324,BPL Files Solar,FILESSLR_PV1,1
59732,Green Pastures Wind I,GPASTURE_WIND_I,1
65661,Nebula Solar,NEBULA_UNIT1,1
63764,Elm Branch Solar 1,STRATEGC_UNIT1,1
