project,resource_name,tech,status,queue_id,capacity_mw,hub,county,grade,overall_score,completeness_pct,verification_score,calibration_score,eia_crosswalk,eia_plant_id,sced_actuals,gen_profile,plant_value,location_confidence,portal,missing_fields,coverage
Tahoka Wind,TAHOKA_UNIT_1,Wind,operating,,300.0,West,Lynn,B,82.2,66.7,80,100,True,61921,True,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Holstein 1 Solar Farm,HOLSTEIN_SOLAR1,Solar,operating,,200.0,West,Nolan,C,66.7,100.0,100,0,True,61962,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
"Torrecillas Wind Energy, LLC",TORR_UNIT1_25,Wind,operating,,300.0,South,Webb,B,82.2,66.7,80,100,True,61969,True,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Blue Summit II Wind,EIA_61970,Wind,operating,,99.4,North,Wilbarger,F,35.6,66.7,40,0,True,61970,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Santa Rita East,EIA_62038,Wind,operating,,302.4,West,Irion,C,68.9,66.7,40,100,True,62038,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
Rambler,RAMBLER_UNIT1,Solar,operating,,200.0,West,Tom Green,C,63.3,90.0,100,0,True,62141,True,False,False,medium,,tracking_type,Registry; Solar Forecast; SCED ETL
Amadeus Wind Farm,AMADEUS1_UNIT1,Wind,operating,,250.0,West,Fisher,D,48.9,66.7,80,0,True,62142,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
IKEA Live Oak Rooftop PV System,EIA_62152,Solar,operating,,1.7,South,Bexar,D,53.3,100.0,60,0,True,62152,False,False,False,medium,,,Registry; Solar Forecast
Reloj del Sol Wind Farm,RELOJ_UNIT1,Wind,operating,,209.4,South,Zapata,D,48.9,66.7,80,0,True,62207,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
"Seymour Hills Wind Project, LLC",EIA_62227,Wind,operating,,30.2,North,Baylor,F,35.6,66.7,40,0,True,62227,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Misae Solar,MISAE_UNIT1,Solar,operating,,240.0,Pan,Childress,C,66.7,100.0,100,0,True,62249,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
Mesteno,MESTENO_UNIT_1,Wind,operating,,201.6,South,Starr,D,48.9,66.7,80,0,True,62258,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
Ranchero Wind Farm LLC,RANCHERO_UNIT1,Wind,operating,,300.0,West,Crockett,B,82.2,66.7,80,100,True,62259,True,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Lockett Windfarm,LOCKETT_UNIT1,Wind,operating,,183.8,North,Wilbarger,D,48.9,66.7,80,0,True,62356,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
Griffin Trail Wind,GRIF_TRL_UNIT1,Wind,operating,,225.6,North,Knox,B,82.2,66.7,80,100,True,62411,True,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
West of the Pecos Solar,EIA_62415,Solar,operating,,100.0,West,Reeves,D,40.0,80.0,40,0,True,62415,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Cranell Wind Farm LLC,EIA_62416,Wind,operating,,220.0,South,Refugio,F,35.6,66.7,40,0,True,62416,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Peyton Creek Wind Farm LLC,EIA_62417,Wind,operating,,151.2,South,Matagorda,F,35.6,66.7,40,0,True,62417,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Lapetus,LAPETUS_UNIT_1,Solar,operating,,100.0,West,Andrews,C,66.7,100.0,100,0,True,62448,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Taygete Energy Project LLC,TAYGETE2_UNIT1,Solar,operating,,255.0,West,Pecos,C,66.7,100.0,100,0,True,62483,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
G.S.E. One LLC,EIA_62505,Solar,operating,,83.0,North,Fannin,D,53.3,100.0,60,0,True,62505,False,False,False,medium,,,Registry; Solar Forecast
"Roadrunner, LLC Hybrid",EIA_62561,Solar,operating,,400.0,West,Upton,B,86.7,100.0,60,100,True,62561,False,True,True,high,,,Registry; Solar Forecast; Plant Value
"High Lonesome Wind Power, LLC Hybrid",EIA_62562,Wind,operating,,499.5,West,Upton,C,68.9,66.7,40,100,True,62562,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
Blue Summit III Wind,EIA_62566,Wind,operating,,200.2,North,Hardeman,F,35.6,66.7,40,0,True,62566,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Mesquite Star,EIA_62587,Wind,operating,,418.9,West,Nolan,C,68.9,66.7,40,100,True,62587,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
Commerce Solar,EIA_62610,Solar,operating,,5.0,South,Bexar,D,53.3,100.0,60,0,True,62610,False,False,False,high,,,Registry; Solar Forecast
Hidalgo Wind Farm II,EIA_62618,Wind,operating,,50.4,South,Hidalgo,F,35.6,66.7,40,0,True,62618,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Sage Draw Wind,EIA_62620,Wind,operating,,338.4,West,Lynn,C,68.9,66.7,40,100,True,62620,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
Jumbo Hill Wind Project,BARROW_UNIT1,Wind,operating,,160.7,West,Andrews,D,48.9,66.7,80,0,True,62630,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
Wildcat Creek Wind Farm LLC,EIA_62715,Wind,operating,,175.3,North,Cooke,F,35.6,66.7,40,0,True,62715,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Prospero Solar,PROSPERO_UNIT1,Solar,operating,,300.0,West,Andrews,A,100.0,100.0,100,100,True,62755,True,True,True,medium,,,Registry; Solar Forecast; SCED ETL; Plant Value
El Campo Wind,EIA_62765,Wind,operating,,242.8,North,Knox,F,35.6,66.7,40,0,True,62765,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Coniglio Solar,CONIGLIO_UNIT1,Solar,operating,,123.6,North,Fannin,C,66.7,100.0,100,0,True,62772,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
"BT Cooke Solar, LLC",RIPPEY_UNIT1,Solar,operating,,59.0,North,Cooke,C,66.7,100.0,100,0,True,62773,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Kellam Solar,KELAM_SL_UNIT1,Solar,operating,,59.0,North,Van Zandt,C,66.7,100.0,100,0,True,62774,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Blackjack Creek Wind Farm,BLACKJAK_UNIT1,Wind,operating,,239.6,South,Bee,D,48.9,66.7,80,0,True,62783,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
Greasewood Solar,GREASWOD_UNIT1,Solar,operating,,255.0,West,Pecos,C,66.7,100.0,100,0,True,62804,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
