project,resource_name,tech,status,queue_id,capacity_mw,hub,county,grade,overall_score,completeness_pct,verification_score,calibration_score,eia_crosswalk,eia_plant_id,sced_actuals,gen_profile,plant_value,location_confidence,portal,missing_fields,coverage
FELPS 2 - Calaveras,EIA_64823,Solar,operating,,1.0,South,Wilson,D,50.0,90.0,60,0,True,64823,False,False,False,high,,dc_ac_ratio,Registry; Solar Forecast
FELPS 3 - Floresville South,EIA_64824,Solar,operating,,1.0,South,Wilson,D,53.3,100.0,60,0,True,64824,False,False,False,high,,,Registry; Solar Forecast
FELPS 4 - Floresville South,EIA_64825,Solar,operating,,1.0,South,Wilson,D,53.3,100.0,60,0,True,64825,False,False,False,high,,,Registry; Solar Forecast
FELPS 5- Floresville South,EIA_64826,Solar,operating,,1.0,South,Wilson,D,53.3,100.0,60,0,True,64826,False,False,False,high,,,Registry; Solar Forecast
FELPS 6- Floresville West,EIA_64827,Solar,operating,,1.0,South,Wilson,D,53.3,100.0,60,0,True,64827,False,False,False,high,,,Registry; Solar Forecast
FELPS 7- Floresville West,EIA_64828,Solar,operating,,1.0,South,Wilson,D,53.3,100.0,60,0,True,64828,False,False,False,high,,,Registry; Solar Forecast
"IP Radian, LLC",RADN_SLR_UNIT1,Solar,operating,,320.0,North,Brown,A,100.0,100.0,100,100,True,64859,True,True,True,medium,,,Registry; Solar Forecast; SCED ETL; Plant Value
"TPE Erath Solar, LLC",EIA_64892,Solar,operating,,9.9,North,Erath,D,53.3,100.0,60,0,True,64892,False,False,False,high,,,Registry; Solar Forecast
Aktina Solar,EIA_64927,Solar,operating,,500.0,South,Wharton,B,86.7,100.0,60,100,True,64927,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
Bernard Creek Solar,EIA_65034,Solar,operating,,230.0,South,Wharton,D,53.3,100.0,60,0,True,65034,False,False,False,high,,,Registry; Solar Forecast
Hubbard Wind,EIA_65048,Wind,operating,,300.0,North,Limestone,C,68.9,66.7,40,100,True,65048,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
Austin TX GigaFactory,EIA_65070,Solar,operating,,8.7,North,Travis,D,53.3,100.0,60,0,True,65070,False,False,False,high,,,Registry; Solar Forecast
Lacy Creek Wind Energy Center,LACY_CRK_UNIT1,Wind,operating,,301.3,West,Sterling,B,82.2,66.7,80,100,True,65162,True,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Noble Solar,NOBLESLR_SOLAR1,Solar,operating,,275.0,North,Denton,D,53.3,80.0,80,0,True,65271,True,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL
Sun Valley Solar Project,MLB_SLR_SOLAR1,Solar,operating,,250.0,North,Hill,C,66.7,100.0,100,0,True,65303,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
Limestone Wind Project,EIA_65306,Wind,operating,,299.2,North,Navarro,F,35.6,66.7,40,0,True,65306,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Horizon Solar,HRZN_SLR_UNIT1,Solar,operating,,200.0,South,Frio,C,66.7,100.0,100,0,True,65308,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Shakes Solar,EIA_65333,Solar,operating,,200.0,South,Dimmit,D,40.0,80.0,40,0,True,65333,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Appaloosa Run Wind,APPALOSA_UNIT1,Wind,operating,,171.8,West,Upton,D,48.9,66.7,80,0,True,65335,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
"Longbow Solar, LLC",EIA_65521,Solar,operating,,78.1,South,Brazoria,D,50.0,90.0,60,0,True,65521,False,False,False,high,,dc_ac_ratio,Registry; Solar Forecast
Inertia Wind Project,INRT_W_UNIT1,Wind,operating,,301.0,North,Haskell,B,82.2,66.7,80,100,True,65546,True,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Verizon Hidden Ridge Solar Project,EIA_65571,Solar,operating,,2.9,North,Dallas,D,53.3,100.0,60,0,True,65571,False,False,False,high,,,Registry; Solar Forecast
Lumina II Solar Project,EIA_65644,Solar,operating,,326.6,West,Scurry,C,73.3,80.0,40,100,True,65644,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Lumina Solar Project,EIA_65645,Solar,operating,,326.6,West,Scurry,B,86.7,100.0,60,100,True,65645,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
Texas Solar Nova 1,EIA_65654,Solar,operating,,252.0,West,Kent,D,50.0,90.0,60,0,True,65654,False,False,False,high,,dc_ac_ratio,Registry; Solar Forecast
Texas Solar Nova 2,EIA_65660,Solar,operating,,200.0,West,Kent,D,50.0,90.0,60,0,True,65660,False,False,False,high,,dc_ac_ratio,Registry; Solar Forecast
Nebula Solar,NEBULA_UNIT1,Solar,operating,,135.0,South,Cameron,C,66.7,100.0,100,0,True,65661,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Vancourt Solar Interconnections,VANCOURT_UNIT1,Solar,operating,,45.0,South,Cameron,C,66.7,100.0,100,0,True,65662,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Waco Solar,EIA_65762,Solar,operating,,400.0,North,Limestone,B,86.7,100.0,60,100,True,65762,False,True,True,high,,,Registry; Solar Forecast; Plant Value
Young Wind,EIA_65763,Wind,operating,,500.0,North,Young,C,68.9,66.7,40,100,True,65763,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
Castle Gap Wind,AGUAYO_UNIT1,Wind,operating,,196.8,North,Mills,D,48.9,66.7,80,0,True,65790,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
"Concho Valley Solar, LLC",RATLIFF_SOLAR1,Solar,operating,,172.8,West,Tom Green,D,53.3,80.0,80,0,True,65793,True,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL
"Porter Solar, LLC (TX)",EIA_65937,Solar,operating,,245.0,North,Denton,D,53.3,100.0,60,0,True,65937,False,False,False,high,,,Registry; Solar Forecast
Tres Bahias,EIA_65947,Solar,operating,,196.3,South,Calhoun,D,53.3,100.0,60,0,True,65947,False,False,False,high,,,Registry; Solar Forecast
Starr Solar Ranch,EIA_65975,Solar,operating,,136.0,South,Starr,D,53.3,100.0,60,0,True,65975,False,False,False,high,,,Registry; Solar Forecast
Second Division Solar,EIA_65981,Solar,operating,,100.0,South,Brazoria,D,53.3,100.0,60,0,True,65981,False,False,False,high,,,Registry; Solar Forecast
Brazoria County Solar Project (Danciger),EIA_66046,Solar,operating,,200.0,South,Brazoria,D,53.3,100.0,60,0,True,66046,False,False,False,high,,,Registry; Solar Forecast
Zier Solar,ZIER_SLR_PV1,Solar,operating,,160.0,West,Kinney,C,66.7,100.0,100,0,True,66137,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
Red Tailed Hawk Solar LLC,EIA_66157,Solar,operating,,350.0,South,Wharton,B,86.7,100.0,60,100,True,66157,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
Cutlass Solar II,EIA_66262,Solar,operating,,202.8,South,Fort Bend,D,53.3,100.0,60,0,True,66262,False,False,False,medium,,,Registry; Solar Forecast
Cutlass Solar 1 LLC,EIA_66310,Solar,operating,,110.9,South,Fort Bend,D,53.3,100.0,60,0,True,66310,False,False,False,high,,,Registry; Solar Forecast
"King Creek Wind Farm 1, LLC",EIA_66321,Wind,operating,,184.0,North,Haskell,F,35.6,66.7,40,0,True,66321,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
"King Creek Wind Farm 2, LLC",EIA_66323,Wind,operating,,209.0,North,Throckmorton,F,35.6,66.7,40,0,True,66323,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
BPL Files Solar,FILESSLR_PV1,Solar,operating,,157.5,North,Hill,C,66.7,100.0,100,0,True,66324,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Grizzly Ridge Solar,GRIZZLY_SOLAR1,Solar,operating,,100.0,North,Hamilton,C,66.7,100.0,100,0,True,66410,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Five Wells Solar Center - Hybrid,EIA_66420,Solar,operating,,355.4,North,Bell,B,86.7,100.0,60,100,True,66420,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
Eiffel Solar Project,EIA_66471,Solar,operating,,240.0,North,Lamar,D,53.3,100.0,60,0,True,66471,False,False,False,high,,,Registry; Solar Forecast
Pioneer Hutt Wind Energy,PIONR_DJ_UNIT1,Wind,operating,,140.0,West,Midland,D,48.9,66.7,80,0,True,66531,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
Shamrock Wind,SHAMROCK_UNIT1,Wind,operating,,223.9,West,Crockett,D,48.9,66.7,80,0,True,66540,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
BKV-BPP Ponder Solar,EIA_66571,Solar,operating,,2.5,North,Denton,D,53.3,100.0,60,0,True,66571,False,False,False,high,,,Registry; Solar Forecast
Highpeak Solar 1,EIA_66572,Solar,operating,,10.0,West,Howard,D,53.3,100.0,60,0,True,66572,False,False,False,high,,,Registry; Solar Forecast
"Fence Post Solar Hybrid Project, LLC",FENCESLR_SOLAR1,Solar,operating,,236.0,North,Navarro,C,66.7,100.0,100,0,True,66801,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
Orion III Solar Project,EIA_66821,Solar,operating,,250.0,North,Milam,D,53.3,100.0,60,0,True,66821,False,False,False,high,,,Registry; Solar Forecast
Orion I Solar Project,EIA_66859,Solar,operating,,200.0,North,Milam,D,53.3,100.0,60,0,True,66859,False,False,False,high,,,Registry; Solar Forecast
Hayhurst Texas Solar,EIA_66880,Solar,operating,,24.8,West,Culberson,D,53.3,100.0,60,0,True,66880,False,False,False,high,,,Registry; Solar Forecast
Roadrunner Wind Farm,RRC_WIND_UNIT1,Wind,operating,,256.0,North,Eastland,D,48.9,66.7,80,0,True,66902,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
Orion II Solar Project,EIA_66941,Solar,operating,,250.0,North,Milam,D,53.3,100.0,60,0,True,66941,False,False,False,high,,,Registry; Solar Forecast
Greasewood II LLC,EIA_67006,Solar,operating,,306.0,West,Pecos,C,73.3,80.0,40,100,True,67006,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
"Copperhead Solar, LLC",EIA_67019,Solar,operating,,150.0,North,McLennan,D,53.3,100.0,60,0,True,67019,False,False,False,high,,,Registry; Solar Forecast
Dileo Solar,EIA_67023,Solar,operating,,71.4,North,Hill,D,53.3,100.0,60,0,True,67023,False,False,False,high,,,Registry; Solar Forecast
Pitts Dudik Solar,EIA_67024,Solar,operating,,49.6,North,Hill,D,53.3,100.0,60,0,True,67024,False,False,False,high,,,Registry; Solar Forecast
Ganado Solar,EIA_67284,Solar,operating,,150.5,South,Jackson,D,53.3,100.0,60,0,True,67284,False,False,False,high,,,Registry; Solar Forecast
Hopkins Energy LLC,STAM_SLR_SOLAR1,Solar,operating,,250.0,North,Hopkins,C,66.7,100.0,100,0,True,67424,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
"Century Oak Wind Project, LLC",ANCHOR_WIND1,Wind,operating,,151.5,North,Eastland,B,82.2,66.7,80,100,True,67425,True,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
BT Signal Ranch,EIA_67849,Solar,operating,,50.0,North,Hunt,D,53.3,100.0,60,0,True,67849,False,False,False,high,,,Registry; Solar Forecast
Peacock Energy Project,EIA_68474,Solar,operating,,150.0,South,San Patricio,D,53.3,100.0,60,0,True,68474,False,False,False,high,,,Registry; Solar Forecast
Corpus Refinery,EIA_50026,Solar,operating,,27.5,South,Nueces,D,40.0,80.0,40,0,True,50026,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Changing Winds,EIA_59243,Wind,operating,,288.0,Pan,Castro,F,35.6,66.7,40,0,True,59243,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Easter,EIA_59971,Wind,operating,,150.0,Pan,Castro,F,35.6,66.7,40,0,True,59971,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
"Cone Renewable Energy Project, LLC",EIA_60272,Wind,operating,,150.0,West,Crosby,F,35.6,66.7,40,0,True,60272,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
"Crosby County Wind Farm, LLC",EIA_60273,Wind,operating,,150.0,West,Crosby,F,35.6,66.7,40,0,True,60273,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Water Valley Wind Energy,EIA_62846,Wind,operating,,180.0,West,Tom Green,F,35.6,66.7,40,0,True,62846,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Alira,EIA_63193,Solar,operating,,222.8,West,Andrews,D,40.0,80.0,40,0,True,63193,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
TREX US Red Holly,EIA_63202,Solar,operating,,250.0,West,Lynn,D,40.0,80.0,40,0,True,63202,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
McCrae Wind Energy II,EIA_63342,Wind,operating,,162.1,West,Glasscock,F,35.6,66.7,40,0,True,63342,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Samson Solar Energy II LLC,EIA_63882,Solar,operating,,200.0,North,Lamar,D,53.3,100.0,60,0,True,63882,False,False,False,medium,,,Registry; Solar Forecast
Delilah Solar Energy II LLC,EIA_63884,Solar,operating,,310.0,North,Red River,B,86.7,100.0,60,100,True,63884,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
Forest Grove - Dodd,EIA_64131,Solar,operating,,200.0,North,Henderson,D,40.0,80.0,40,0,True,64131,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Oak Hill - Dry Creek,EIA_64132,Solar,operating,,200.0,North,Rusk,D,40.0,80.0,40,0,True,64132,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Big Star Solar, LLC (Hybrid)",EIA_64202,Solar,operating,,200.0,North,Bastrop,D,50.0,90.0,60,0,True,64202,False,False,False,high,,tracking_type,Registry; Solar Forecast
Hecate Energy Harley Hand Solar LLC,EIA_64234,Solar,operating,,514.0,West,Nolan,C,73.3,80.0,40,100,True,64234,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
7V Solar Ranch,EIA_64239,Solar,operating,,240.0,North,Fayette,D,50.0,90.0,60,0,True,64239,False,False,False,high,,tracking_type,Registry; Solar Forecast
Armadillo Solar Center,EIA_64349,Solar,operating,,175.0,North,Navarro,D,40.0,80.0,40,0,True,64349,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Blue Jay Solar I, LLC",EIA_64672,Solar,operating,,210.0,Houston,Grimes,D,53.3,100.0,60,0,True,64672,False,False,False,high,,,Registry; Solar Forecast
Pecan Prairie South Solar,EIA_64981,Solar,operating,,130.0,North,Leon,D,40.0,80.0,40,0,True,64981,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Pecan Prairie North Solar,EIA_64999,Solar,operating,,350.0,North,Leon,C,73.3,80.0,40,100,True,64999,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
"Roseland Solar Project, LLC",EIA_65028,Solar,operating,,500.0,North,Falls,B,86.7,100.0,60,100,True,65028,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
Renegade Solar Project (Dawn),EIA_65310,Solar,operating,,515.0,Pan,Deaf Smith,C,73.3,80.0,40,100,True,65310,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Noria Hondo Solar (Hybrid),EIA_65344,Solar,operating,,145.0,South,Kleberg,D,40.0,80.0,40,0,True,65344,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Hornet Solar (TX),HRNT_SLR_UNIT1,Solar,operating,,600.0,Pan,Swisher,B,86.7,80.0,80,100,True,65463,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
"El Sauz Ranch Wind, LLC",EIA_65760,Wind,operating,,301.0,South,Willacy,C,68.9,66.7,40,100,True,65760,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
Clear Fork Creek Solar and BESS SLF,EIA_65842,Solar,operating,,600.0,South,Wilson,C,73.3,80.0,40,100,True,65842,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Flag City Solar,EIA_65844,Solar,operating,,167.3,South,Jackson,D,40.0,80.0,40,0,True,65844,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Eldora Energy LLC,EIA_65847,Solar,operating,,200.0,South,Matagorda,D,40.0,80.0,40,0,True,65847,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Oriana Solar LLC,EIA_65849,Solar,operating,,180.0,South,Victoria,D,40.0,80.0,40,0,True,65849,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Hollow Branch Creek 2 Solar and BESS SLF,EIA_65851,Solar,operating,,460.0,North,Madison,C,73.3,80.0,40,100,True,65851,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Lunis Creek Solar and BESS SLF,EIA_65852,Solar,operating,,617.1,South,Jackson,C,73.3,80.0,40,100,True,65852,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Middlebrook Creek Solar and BESS,EIA_65853,Solar,operating,,609.1,North,Nacogdoches,C,73.3,80.0,40,100,True,65853,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Rowdy Creek Solar and BESS,EIA_65854,Solar,operating,,700.0,North,Lamar,C,73.3,80.0,40,100,True,65854,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Tehuacana Creek 1 Solar and BESS,EIA_65855,Solar,operating,,836.8,North,Navarro,B,86.7,100.0,60,100,True,65855,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
Orange Grove,EIA_65891,Solar,operating,,131.0,South,Jim Wells,D,40.0,80.0,40,0,True,65891,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
OCI SunRoper,EIA_65893,Solar,operating,,260.0,South,Wharton,D,53.3,100.0,60,0,True,65893,False,False,False,medium,,,Registry; Solar Forecast
OCI Stillhouse Solar,STLHS_SL_PV1,Solar,operating,,210.0,North,Bell,C,66.7,100.0,100,0,True,65894,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
Garcitas Creek Solar,EIA_65973,Solar,operating,,201.9,South,Jackson,D,40.0,80.0,40,0,True,65973,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Peregrine Solar,EIA_65979,Solar,operating,,300.0,South,Goliad,B,83.3,90.0,60,100,True,65979,False,True,True,high,,tracking_type,Registry; Solar Forecast; Plant Value
Prairie Switch Wind LLC,EIA_66123,Wind,operating,,163.2,South,Wharton,F,35.6,66.7,40,0,True,66123,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Trinity River Solar 1,EIA_66132,Solar,operating,,150.0,Houston,Liberty,D,40.0,80.0,40,0,True,66132,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Cattlemen Solar Park,EIA_66168,Solar,operating,,240.0,North,Milam,D,53.3,100.0,60,0,True,66168,False,False,False,medium,,,Registry; Solar Forecast
Yaupon Solar Project (Hybrid),EIA_66216,Solar,operating,,200.0,North,Milam,D,53.3,100.0,60,0,True,66216,False,False,False,medium,,,Registry; Solar Forecast
Uvalde Solar 1,EIA_66306,Solar,operating,,150.0,South,Uvalde,D,53.3,100.0,60,0,True,66306,False,False,False,high,,,Registry; Solar Forecast
Uvalde Solar 2,EIA_66309,Solar,operating,,300.0,South,Uvalde,B,86.7,100.0,60,100,True,66309,False,True,True,high,,,Registry; Solar Forecast; Plant Value
Eagle Springs Hybrid,EIA_66341,Solar,operating,,110.1,North,Delta,D,40.0,80.0,40,0,True,66341,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Gaia Hybrid,EIA_66342,Solar,operating,,152.7,North,Navarro,D,40.0,80.0,40,0,True,66342,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
MRG Goody Solar Project Hybrid,EIA_66390,Solar,operating,,171.7,North,Lamar,D,40.0,80.0,40,0,True,66390,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Naduah Solar,EIA_66396,Solar,operating,,102.3,North,Limestone,D,40.0,80.0,40,0,True,66396,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Tokio Solar,EIA_66397,Solar,operating,,170.4,North,McLennan,D,40.0,80.0,40,0,True,66397,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Eytcheson Solar,EIA_66398,Solar,operating,,76.4,North,Navarro,D,40.0,80.0,40,0,True,66398,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
OCI Hillsboro,EIA_66401,Solar,operating,,200.0,North,Hill,D,40.0,80.0,40,0,True,66401,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Despain Solar,EIA_66421,Solar,operating,,236.2,West,Kinney,D,40.0,80.0,40,0,True,66421,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Desert Vine Solar,EIA_66493,Solar,operating,,121.3,South,Zapata,D,40.0,80.0,40,0,True,66493,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
TX Dallas 7750 Dynasty Drive,EIA_66516,Solar,operating,,2.3,North,Dallas,D,40.0,80.0,40,0,True,66516,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
TX Houston 7080 Express Lane,EIA_66517,Solar,operating,,1.9,Houston,Harris,D,50.0,90.0,60,0,True,66517,False,False,False,high,,tracking_type,Registry; Solar Forecast
TX Pasadena 10585 Red Bluff Road Solar,EIA_66519,Solar,operating,,2.3,Houston,Harris,D,40.0,80.0,40,0,True,66519,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
TX Sunnyvale 367 Long Creek Road Solar,EIA_66520,Solar,operating,,2.0,North,Dallas,D,40.0,80.0,40,0,True,66520,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Jones City 1 Solar,EIA_66559,Solar,operating,,215.0,West,Jones,D,53.3,100.0,60,0,True,66559,False,False,False,medium,,,Registry; Solar Forecast
"Accalia Point Solar, LLC",EIA_66673,Solar,operating,,190.5,South,Cameron,D,53.3,100.0,60,0,True,66673,False,False,False,medium,,,Registry; Solar Forecast
"Bright Arrow Solar, LLC",EIA_66688,Solar,operating,,300.0,North,Hopkins,C,73.3,80.0,40,100,True,66688,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
"Briggs Solar, LLC",EIA_66691,Solar,operating,,305.0,North,Haskell,C,73.3,80.0,40,100,True,66691,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
"Holly Branch Solar, LLC",EIA_66692,Solar,operating,,230.0,North,Robertson,D,40.0,80.0,40,0,True,66692,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Ash Creek Solar,EIA_66774,Solar,operating,,408.9,North,Hill,B,86.7,100.0,60,100,True,66774,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
"GulfStar Power, LLC",EIA_66871,Solar,operating,,451.6,South,Wharton,B,86.7,100.0,60,100,True,66871,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
"Estonian Solar Project, LLC",EIA_66872,Solar,operating,,204.5,North,Delta,D,40.0,80.0,40,0,True,66872,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Indigo Solar & Storage,EIA_66891,Solar,operating,,150.0,West,Fisher,D,40.0,80.0,40,0,True,66891,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Jones City 2 Solar,EIA_66893,Solar,operating,,185.0,North,Jones,D,53.3,100.0,60,0,True,66893,False,False,False,medium,,,Registry; Solar Forecast
"Albatross Solar, LLC",EIA_66894,Solar,operating,,101.0,North,McLennan,D,40.0,80.0,40,0,True,66894,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Lupinus Solar 1, LLC",EIA_66895,Solar,operating,,165.0,Houston,Franklin,D,40.0,80.0,40,0,True,66895,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Lupinus Solar 2, LLC",EIA_66896,Solar,operating,,244.0,Houston,Franklin,D,40.0,80.0,40,0,True,66896,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Midpoint Solar, LLC",EIA_66897,Solar,operating,,97.5,North,Hill,D,40.0,80.0,40,0,True,66897,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"BT Hickerson Solar, LLC",HKSN_SLR_UNIT1,Solar,operating,,310.0,North,Bosque,A,100.0,100.0,100,100,True,66903,True,True,True,medium,,,Registry; Solar Forecast; SCED ETL; Plant Value
"Myrtle Solar, LLC",EIA_66910,Solar,operating,,313.0,South,Brazoria,B,86.7,100.0,60,100,True,66910,False,True,True,high,,,Registry; Solar Forecast; Plant Value
Hill Solar 1,EIA_66912,Solar,operating,,405.0,North,Hill,B,86.7,100.0,60,100,True,66912,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
"Danish Fields Solar, LLC",EIA_66914,Solar,operating,,600.0,South,Wharton,C,73.3,80.0,40,100,True,66914,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Cottonwood Bayou Solar,EIA_66915,Solar,operating,,350.0,South,Brazoria,B,83.3,90.0,60,100,True,66915,False,True,True,medium,,dc_ac_ratio,Registry; Solar Forecast; Plant Value
La Casa Wind,EIA_66919,Wind,operating,,150.0,North,Stephens,F,35.6,66.7,40,0,True,66919,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Timber Cove Solar,EIA_66922,Solar,operating,,100.0,North,Freestone,D,40.0,80.0,40,0,True,66922,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Carol Wind, LLC",EIA_66976,Wind,operating,,167.8,Pan,Potter,F,35.6,66.7,40,0,True,66976,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Grimes County Solar,GRIM_SLR_UNIT1,Solar,operating,,210.0,Houston,Grimes,C,66.7,100.0,100,0,True,67046,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
TX Fort Worth 5200 Gold Spike Drive,EIA_67058,Solar,operating,,4.0,North,Tarrant,D,50.0,90.0,60,0,True,67058,False,False,False,high,,tracking_type,Registry; Solar Forecast
